start_time,latitude,longitude,title_escaped,venue
2016-07-20 20:00:00,40.750480000000046,-73.99340545767213,Billy Joel,Madison Square Garden
2016-08-13 10:00:00,40.753614,-73.99176820000001,TTTTOUR NYC 2016,Madison Square Garden
2016-08-24 20:00:00,40.753614,-73.99176820000001,CarNYval Fit w/ CarNYval Dancers: Labor Day Prep Edition (MANHATTAN),Madison Square Garden
2016-08-11 18:30:00,40.753614,-73.99176820000001,Fitbit Local New York,Madison Square Garden
2016-07-23 15:00:00,40.753614,-73.99176820000001,MAKE YOUR OWN SKIRT - 3hr WorkShop 1 : INTRO TO SEWING,Madison Square Garden
2015-12-20 19:00:00,40.750527924216,-73.992786450024,New York Rangers vs. Washington Capitals,Madison Square Garden
2016-08-20 15:15:00,40.7508425,-73.99426209999999,Union Square Area Guided Tour,Madison Square Garden
2016-07-12 19:00:00,40.752854,-73.992979,Fireman Party - Mix & Mingle With NY's Bravest,Madison Square Garden
2016-08-13 22:00:00,40.74943327746997,-73.99420210059434,"Mumdance & Logos, Alex English, Jergo",Madison Square Garden
2015-12-15 19:00:00,40.750527924216,-73.992786450024,New York Rangers vs. Edmonton Oilers,Madison Square Garden
2016-08-27 13:00:00,40.7525,-73.9955,Go GOLD 5K! - New York,Madison Square Garden
2016-06-29 19:30:00,40.753614,-73.99176820000001,Afrobeats Dance Class,Madison Square Garden
2016-08-10 20:30:00,40.7534167,-73.99430799999999,The Poet WILL Be Televised! Open Mic and Jam Session,Madison Square Garden
2016-06-19 14:35:00,40.7508425,-73.99426209999999,Union Square Area Guided Tour,Madison Square Garden
2016-07-27 00:00:00,40.753614,-73.99176820000001,New York City Business Case-Building Seminar,Madison Square Garden
2016-07-08 22:00:00,40.748731299999996,-73.9932802,FRIDAY JULY 8 NIGHT AT MONARCH (FREE IF ON LOLA’S LIST),Madison Square Garden
2016-08-04 13:00:00,40.7508425,-73.99426209999999,Union Square Area Guided Tour,Madison Square Garden
2016-07-21 18:00:00,40.753614,-73.99176820000001,FEAR FREE: An Introduction to Fearless Public Speaking,Madison Square Garden
2016-08-21 15:00:00,40.747766999999996,-73.993386,Unfinished - Workshop Performance,Madison Square Garden
2016-06-26 15:00:00,40.748731299999996,-73.9932802,FLY Sundays @ Monarch Rooftop : PRIDE 2016!,Madison Square Garden
2016-06-17 19:00:00,40.749212,-73.993821,"Critical Sound w/ Mefjus , Kasra",Madison Square Garden
2016-06-18 19:00:00,40.753614,-73.99176820000001,nude Twister Party!,Madison Square Garden
2016-06-28 00:00:00,40.751906,-73.991309,Summer Absolute Beginners Workshop: Introduction to Flamenco Dance,Madison Square Garden
2016-08-20 22:00:00,40.74943327746997,-73.99420210059434,"X+G, Um.., Alex English, Jergo",Madison Square Garden
2016-08-11 18:30:00,40.748224,-73.99284499999999,Cannabis and Hemp Association Presents: Lets Get Growing!,Madison Square Garden
2016-07-18 16:00:00,40.753614,-73.99176820000001,STEAM Theatre: Ladybug Adventures (3-6yo),Madison Square Garden
2016-07-10 10:00:00,40.753614,-73.99176820000001,"HAMILTON WORKSHOP with HAMILTON Star, Andrew Chappelle & Talent Agent",Madison Square Garden
2016-07-31 09:30:00,40.753614,-73.99176820000001,"BollyX LIT (Low Impact) Master Class - New York, NY",Madison Square Garden
2016-08-01 18:30:00,40.752664,-73.994309,MATERIALIZE YOUR IDEAL PARTNER (MYIP) Group Coaching from JUL/06 to SEP/21,Madison Square Garden
2016-07-27 18:30:00,40.748731299999996,-73.9932802,UWIB NYC Presents: Summer Social with Ladies NYC & NYC Lady Project,Madison Square Garden
2016-07-21 20:00:00,40.7525098,-73.9943964,A SCYTHE OF TIME,Madison Square Garden
